'hood.n.01	'hood
barrie.n.01	barrie
barrier.n.01	barrier
barring.n.01	barring
barrio.n.01	barrio
barrister.n.01	barrister
barroom.n.01	barroom
barrow.n.03	barrow
barrymore.n.01	barrymore
barrymore.n.03	barrymore
barrymore.n.05	barrymore
bartender.n.01	bartender
barter.n.01	barter
barter.v.01	barter
bartholin.n.01	bartholin
bartle_frere.n.01	bartle frere
bartram_juneberry.n.01	bartram juneberry
bartramia.n.01	bartramia
baruch.n.01	baruch
baryta.n.01	baryta
bas_relief.n.01	bas relief
basal_ganglion.n.01	basal ganglion
base.n.01	base
base.n.03	base
base.n.05	base
base.n.08	base
base.n.10	base
base.n.13	base
base.n.19	base
base_hit.n.01	base hit
base_on_balls.n.01	base on balls
base_rate.n.01	base rate
baseball.n.01	baseball
baseball_bat.n.01	baseball bat
baseball_cap.n.01	baseball cap
baseball_coach.n.01	baseball coach
baseball_diamond.n.01	baseball diamond
baseball_equipment.n.01	baseball equipment
baseball_league.n.01	baseball league
baseball_play.n.01	baseball play
baseball_team.n.01	baseball team
basel.n.01	basel
basement.n.01	basement
baseness.n.01	baseness
basic.n.02	basic
basic_cognitive_process.n.01	basic cognitive process
basic_training.n.01	basic training
basidiomycete.n.01	basidiomycete
basidiomycetes.n.01	basidiomycetes
basidiomycota.n.01	basidiomycota
basil.n.01	basil
basil.n.02	basil
basil_thyme.n.01	basil thyme
basilar_artery.n.01	basilar artery
basilicata.n.01	basilicata
basiliscus.n.01	basiliscus
basin.n.01	basin
basin.n.03	basin
basinet.n.01	basinet
basis.n.02	basis
basis.n.03	basis
basket.n.01	basket
basket.n.03	basket
basketball.n.01	basketball
basketball_court.n.01	basketball court
basketball_equipment.n.01	basketball equipment
basketball_play.n.01	basketball play
basketball_player.n.01	basketball player
basketball_shot.n.01	basketball shot
basketball_team.n.01	basketball team
basophil.n.01	basophil
basque.n.01	basque
basque_homeland_and_freedom.n.01	basque homeland and freedom
basra.n.01	basra
bass.n.02	bass
bass.n.07	bass
bass_fiddle.n.01	bass fiddle
bass_horn.n.01	bass horn
bassariscus.n.01	bassariscus
bassarisk.n.01	bassarisk
basseterre.n.01	basseterre
bassia.n.01	bassia
bassine.n.01	bassine
bassinet.n.02	bassinet
bassoon.n.01	bassoon
basswood.n.01	basswood
bastard.n.02	bastard
bastard.n.03	bastard
bastard_wing.n.01	bastard wing
bastardize.v.01	bastardize
bastardize.v.02	bastardize
baste.n.01	baste
baste.v.01	baste
baste.v.03	baste
bastille.n.01	bastille
bastille.n.02	bastille
bastion.n.02	bastion
bastnasite.n.01	bastnasite
bat.n.01	bat
bat.v.01	bat
bat_boy.n.01	bat boy
bat_mitzvah.n.01	bat mitzvah
bataan.n.01	bataan
batch.n.02	batch
batch.n.03	batch
bate.v.01	bate
bate.v.03	bate
bath.n.02	bath
bath_linen.n.01	bath linen
bathe.v.01	bathe
bathe.v.03	bathe
bather.n.02	bather
bathing.n.01	bathing
batholith.n.01	batholith
batholithic.a.01	batholithic
bathroom.n.01	bathroom
bathtub.n.01	bathtub
bathyergidae.n.01	bathyergidae
bathymeter.n.01	bathymeter
bathymetry.n.01	bathymetry
batidaceae.n.01	batidaceae
batis.n.01	batis
baton_rouge.n.01	baton rouge
baton_twirler.n.01	baton twirler
batrachoididae.n.01	batrachoididae
batrachoseps.n.01	batrachoseps
battalion.n.02	battalion
batten.v.01	batten
batter.n.01	batter
batter.n.02	batter
battery.n.01	battery
battery.n.02	battery
battery.n.03	battery
batting.n.01	batting
batting_order.n.01	batting order
battle.n.01	battle
battle.v.01	battle
battle_damage.n.01	battle damage
battle_dress.n.01	battle dress
battle_line.n.01	battle line
battle_of_britain.n.01	battle of britain
battle_of_the_ardennes_bulge.n.01	battle of the ardennes bulge
battle_of_the_marne.n.01	battle of the marne
battle_of_wake.n.01	battle of wake
battlefield.n.01	battlefield
battlefront.n.01	battlefront
battlement.n.01	battlement
battleship.n.01	battleship
bauhinia.n.01	bauhinia
bauxite.n.01	bauxite
bavaria.n.01	bavaria
bawdry.n.01	bawdry
bawl.v.01	bawl
bay.n.01	bay
bay.v.01	bay
bay_leaf.n.01	bay leaf
bay_scallop.n.02	bay scallop
bay_willow.n.01	bay willow
bayberry.n.01	bayberry
bayonet.v.01	bayonet
bayonne.n.01	bayonne
bazaar.n.03	bazaar
be-all_and_end-all.n.01	be-all and end-all
be.v.01	be
be.v.03	be
be.v.11	be
be_active.v.01	be active
be_born.v.01	be born
beach.n.01	beach
beach_flea.n.01	beach flea
beach_heather.n.01	beach heather
beach_pea.n.01	beach pea
beach_wagon.n.01	beach wagon
beachfront.n.01	beachfront
beachwear.n.01	beachwear
beacon.n.03	beacon
beacon.v.01	beacon
beacon.v.02	beacon
beacon_hill.n.01	beacon hill
bead.v.02	bead
bead_tree.n.01	bead tree
beading.n.02	beading
beadle.n.01	beadle
beads.n.01	beads
beak.n.02	beak
beak.n.04	beak
beaked_salmon.n.01	beaked salmon
beaked_whale.n.01	beaked whale
beam.n.02	beam
beam.n.03	beam
beam.n.04	beam
bean.n.01	bean
bean.n.02	bean
bean.n.03	bean
bean.v.01	bean
bean_caper.n.01	bean caper
bean_tree.n.01	bean tree
bean_trefoil.n.01	bean trefoil
beanfeast.n.01	beanfeast
bear.n.01	bear
bear.v.04	bear
bear.v.05	bear
bear.v.06	bear
bear.v.11	bear
bear_down.v.02	bear down
bear_down.v.05	bear down
bear_down_on.v.01	bear down on
bear_grass.n.03	bear grass
bear_up.v.01	bear up
bearberry.n.03	bearberry
beard.n.01	beard
beard.n.03	beard
bearded_iris.n.01	bearded iris
bearded_seal.n.01	bearded seal
beardless_iris.n.01	beardless iris
bearing.n.02	bearing
bearing.n.03	bearing
bearing.n.06	bearing
beast.n.02	beast
beastliness.n.02	beastliness
beat.n.06	beat
beat.v.01	beat
beat.v.02	beat
beat.v.03	beat
beat.v.04	beat
beat.v.05	beat
beat.v.08	beat
beat.v.10	beat
beat.v.15	beat
beat.v.16	beat
beat.v.19	beat
beat_around_the_bush.v.01	beat around the bush
beater.n.02	beater
beatification.n.02	beatification
beatification.n.03	beatification
beatify.v.02	beatify
beating-reed_instrument.n.01	beating-reed instrument
beating.n.01	beating
beating.n.02	beating
beatles.n.01	beatles
beatnik.n.01	beatnik
beats_per_minute.n.01	beats per minute
beaufort_scale.n.01	beaufort scale
beaumont.n.03	beaumont
beaumontia.n.01	beaumontia
beautician.n.01	beautician
beautification.n.01	beautification
beauty.n.01	beauty
beauvoir.n.01	beauvoir
beaver.n.05	beaver
beaver.n.07	beaver
beaver_board.n.01	beaver board
beaverbrook.n.01	beaverbrook
bechtel_crab.n.01	bechtel crab
becket.n.01	becket
beckley.n.01	beckley
beckon.v.01	beckon
become.v.01	become
become.v.02	become
become.v.03	become
bed.n.01	bed
bed.n.02	bed
bed.n.03	bed
bed.n.08	bed
bed.v.01	bed
bed.v.03	bed
bed_down.v.01	bed down
bed_linen.n.01	bed linen
bedbug.n.01	bedbug
bedclothes.n.01	bedclothes
bede.n.01	bede
bedfellow.n.02	bedfellow
bedizen.v.01	bedizen
bedizen.v.02	bedizen
bedlam.n.02	bedlam
bedraggle.v.01	bedraggle
bedroom.n.01	bedroom
bedspread.n.01	bedspread
bedspring.n.01	bedspring
bedstead.n.01	bedstead
bedstraw.n.01	bedstraw
bee.n.01	bee
bee_balm.n.02	bee balm
bee_moth.n.01	bee moth
beech.n.01	beech
beech_fern.n.01	beech fern
beecher.n.01	beecher
beef.n.01	beef
beef.n.02	beef
beef_loin.n.01	beef loin
beefsteak.n.01	beefsteak
beefsteak_fungus.n.01	beefsteak fungus
beefwood.n.02	beefwood
beehive.n.04	beehive
beekeeper.n.01	beekeeper
beekeeping.n.01	beekeeping
beep.n.01	beep
beep.v.02	beep
beeper.n.01	beeper
beer.n.01	beer
beeswax.n.01	beeswax
beet.n.01	beet
beet.n.02	beet
beetle.n.01	beetle
beetroot.n.01	beetroot
befall.v.01	befall
befit.v.01	befit
befoulment.n.01	befoulment
befriend.v.01	befriend
beg.v.01	beg
beg.v.03	beg
beg.v.04	beg
beget.v.01	beget
beggar's_lice.n.01	beggar's lice
beggar.n.01	beggar
beggar.v.02	beggar
beggary.n.01	beggary
beggary.n.02	beggary
begin.v.02	begin
begin.v.03	begin
begin.v.04	begin
begin.v.06	begin
begin.v.07	begin
begin.v.08	begin
begin.v.10	begin
beginning.n.01	beginning
beginning.n.02	beginning
beginning.n.04	beginning
beginning.n.05	beginning
begonia.n.01	begonia
begoniaceae.n.01	begoniaceae
beguine.n.01	beguine
behave.v.02	behave
behave.v.03	behave
behavior.n.01	behavior
behavior_therapy.n.01	behavior therapy
behaviorism.n.01	behaviorism
behaviorist.n.01	behaviorist
behavioristic.a.01	behavioristic
behold.v.01	behold
beijing.n.01	beijing
being.n.01	being
beira.n.01	beira
bejewel.v.01	bejewel
belamcanda.n.01	belamcanda
belarus.n.01	belarus
belarusian.a.01	belarusian
belarusian.n.01	belarusian
belch.n.01	belch
belem.n.01	belem
belemnoidea.n.01	belemnoidea
belgian.n.01	belgian
belgian_endive.n.01	belgian endive
belgian_sheepdog.n.01	belgian sheepdog
belgium.n.01	belgium
belgrade.n.01	belgrade
belief.n.01	belief
believe.v.01	believe
believe.v.03	believe
believe.v.04	believe
believer.n.01	believer
believer.n.02	believer
bell.n.01	bell
bell.n.03	bell
bell.n.04	bell
bell.n.05	bell
bell_apple.n.01	bell apple
bell_ringer.n.03	bell ringer
belladonna.n.01	belladonna
bellarmine.n.01	bellarmine
bellbottom_trousers.n.01	bellbottom trousers
belle.n.01	belle
belle_isle_cress.n.01	belle isle cress
bellingham.n.01	bellingham
bellis.n.01	bellis
bellow.n.01	bellow
bellow.v.02	bellow
bellwort.n.01	bellwort
belly.n.02	belly
belly.n.03	belly
belly.v.01	belly
belly_dance.v.01	belly dance
belly_laugh.n.02	belly laugh
belo_horizonte.n.01	belo horizonte
belonidae.n.01	belonidae
beloved.n.01	beloved
belt.n.01	belt
belt.n.02	belt
belt.n.03	belt
belt.v.02	belt
belting.n.01	belting
beltway.n.01	beltway
beluga.n.01	beluga
beluga_caviar.n.01	beluga caviar
bemisia.n.01	bemisia
ben.n.01	ben
ben_sira.n.01	ben sira
bench.n.01	bench
bench.n.06	bench
benchley.n.01	benchley
bend.n.01	bend
bend.n.03	bend
bend.v.01	bend
bend.v.02	bend
bendability.n.01	bendability
bender.n.01	bender
bending.n.01	bending
bending.n.03	bending
benedict_xiv.n.01	benedict xiv
benedict_xv.n.01	benedict xv
benediction.n.02	benediction
benefact.v.01	benefact
benefactor.n.01	benefactor
benefice.n.01	benefice
benefice.v.01	benefice
beneficence.n.02	beneficence
beneficiary.n.01	beneficiary
beneficiate.v.01	beneficiate
benefit.n.01	benefit
benefit.n.02	benefit
benefit.v.02	benefit
benelux.n.01	benelux
bengali.n.01	bengali
benghazi.n.01	benghazi
benight.v.01	benight
benign.a.02	benign
benign_tumor.n.01	benign tumor
benignity.n.01	benignity
benin.n.01	benin
bennett.n.01	bennett
bennettitaceae.n.01	bennettitaceae
bennettitales.n.01	bennettitales
bent.n.01	bent
bent.n.02	bent
bent.n.04	bent
benthic.a.01	benthic
benthos.n.01	benthos
benzedrine.n.01	benzedrine
benzene.n.01	benzene
benzene_formula.n.01	benzene formula
benzocaine.n.01	benzocaine
benzodiazepine.n.01	benzodiazepine
benzyl.n.01	benzyl
bequeath.v.01	bequeath
bequest.n.01	bequest
berating.n.01	berating
berber.n.02	berber
berberidaceae.n.01	berberidaceae
berberis.n.01	berberis
bereaved.n.01	bereaved
bergen.n.01	bergen
berk.n.01	berk
berkeley.n.02	berkeley
berkshires.n.01	berkshires
berlin.n.01	berlin
berliner.n.01	berliner
bermuda.n.01	bermuda
bermuda_buttercup.n.01	bermuda buttercup
bermuda_grass.n.01	bermuda grass
bermuda_shorts.n.01	bermuda shorts
bern.n.01	bern
bernini.n.01	bernini
berry.n.01	berry
berry.n.02	berry
berry.v.01	berry
berteroa.n.01	berteroa
berth.n.03	berth
berth.v.01	berth
bertholletia.n.01	bertholletia
berycomorphi.n.01	berycomorphi
beryl.n.01	beryl
beryllium.n.01	beryllium
besiege.v.01	besiege
besieger.n.01	besieger
bespeak.v.01	bespeak
bessemer.n.01	bessemer
bessemer_converter.n.01	bessemer converter
bessera.n.01	bessera
besseya.n.01	besseya
best.a.01	best
best.n.01	best
best.n.02	best
bestiality.n.02	bestiality
bestowal.n.01	bestowal
bet.n.02	bet
bet.v.01	bet
bet.v.02	bet
bet_on.v.01	bet on
beta.n.02	beta
beta_blocker.n.01	beta blocker
beta_software.n.01	beta software
beta_test.n.01	beta test
betel.n.01	betel
beth.n.01	beth
bethink.v.02	bethink
betray.v.01	betray
betray.v.02	betray
betroth.v.01	betroth
betrothal.n.01	betrothal
betrothal.n.02	betrothal
better.n.04	better
better.v.01	better
better.v.02	better
better.v.03	better
betting_shop.n.01	betting shop
bettongia.n.01	bettongia
bettor.n.01	bettor
betula.n.01	betula
betulaceae.n.01	betulaceae
bevel.n.01	bevel
bevel.v.01	bevel
bevel_gear.n.01	bevel gear
beverage.n.01	beverage
beverly_hills.n.01	beverly hills
bewhisker.v.01	bewhisker
bewilder.v.02	bewilder
bewilderment.n.01	bewilderment
bewitchery.n.01	bewitchery
bhagavad-gita.n.01	bhagavad-gita
bhutan.n.01	bhutan
bhutanese.n.01	bhutanese
bias.n.01	bias
bias.v.01	bias
bias.v.02	bias
bible.n.01	bible
biblical.a.01	biblical
biblical.a.02	biblical
bibliolatry.n.01	bibliolatry
bibliophile.n.01	bibliophile
bibliopole.n.01	bibliopole
bibliotics.n.01	bibliotics
bibos.n.01	bibos
bicameral_script.n.01	bicameral script
bicarbonate.n.01	bicarbonate
bicarbonate_of_soda.n.01	bicarbonate of soda
biceps.n.01	biceps
bicker.n.01	bicker
bicycle-built-for-two.n.01	bicycle-built-for-two
bicycle.n.01	bicycle
bicycle.v.01	bicycle
bicycle_seat.n.01	bicycle seat
bicycle_wheel.n.01	bicycle wheel
bid.n.02	bid
bid.n.03	bid
bid.n.04	bid
bid.v.03	bid
bid.v.04	bid
bid_price.n.01	bid price
bidder.n.02	bidder
bide.v.01	bide
bidens.n.01	bidens
biennial.n.01	biennial
bifocals.n.01	bifocals
bifurcate.v.01	bifurcate
bifurcate.v.02	bifurcate
bifurcation.n.01	bifurcation
bifurcation.n.03	bifurcation
big_bang.n.01	big bang
big_bend.n.01	big bend
big_board.n.02	big board
big_cat.n.01	big cat
big_dipper.n.01	big dipper
big_h.n.01	big h
big_sagebrush.n.01	big sagebrush
big_shellbark.n.01	big shellbark
big_shot.n.01	big shot
big_sur.n.01	big sur
big_toe.n.01	big toe
bigamist.n.01	bigamist
bigamy.n.01	bigamy
bigeye_scad.n.01	bigeye scad
bighorn.n.01	bighorn
bighorn.n.02	bighorn
bignonia.n.01	bignonia
bignoniaceae.n.01	bignoniaceae
bigot.n.01	bigot
bikini.n.02	bikini
bilaterality.n.01	bilaterality
bilberry.n.01	bilberry
bilberry.n.03	bilberry
bile.n.01	bile
bilge.n.02	bilge
bill.n.01	bill
bill.n.02	bill
bill.n.03	bill
bill.n.07	bill
bill.n.09	bill
bill.v.02	bill
bill_of_rights.n.01	bill of rights
bill_poster.n.01	bill poster
billet.n.02	billet
billfish.n.02	billfish
billiards.n.01	billiards
billings.n.01	billings
billion.n.01	billion
billion.n.03	billion
billionth.n.01	billionth
billow.n.01	billow
billow.v.01	billow
billow.v.03	billow
bimbo.n.01	bimbo
bin.n.01	bin
bin.v.01	bin
bin_liner.n.01	bin liner
binary_compound.n.01	binary compound
binary_star.n.01	binary star
bind.n.01	bind
bind.v.02	bind
bind.v.03	bind
bind.v.04	bind
bind.v.07	bind
bind.v.09	bind
binder.n.01	binder
binder.n.02	binder
binding.n.01	binding
binding.n.05	binding
bindweed.n.01	bindweed
binghamton.n.01	binghamton
binocular_vision.n.01	binocular vision
binoculars.n.01	binoculars
binturong.n.01	binturong
bioassay.n.01	bioassay
biochemist.n.01	biochemist
biochemistry.n.01	biochemistry
biogenesis.n.02	biogenesis
biographer.n.01	biographer
biography.n.01	biography
bioko.n.01	bioko
biological.a.01	biological
biological_defense.n.01	biological defense
biological_group.n.01	biological group
biological_research.n.01	biological research
biological_time.n.01	biological time
biological_warfare.n.01	biological warfare
biological_warfare_defense.n.01	biological warfare defense
biologist.n.01	biologist
biology.n.01	biology
biology_lab.n.01	biology lab
biome.n.01	biome
biometric_identification.n.01	biometric identification
biopsy.n.01	biopsy
biosafety_level.n.01	biosafety level
biota.n.01	biota
biotechnology.n.01	biotechnology
biotechnology.n.02	biotechnology
bioterrorism.n.01	bioterrorism
biotin.n.01	biotin
bioweapon.n.01	bioweapon
biped.n.01	biped
bipolar_disorder.n.01	bipolar disorder
birch.n.02	birch
birch.v.01	birch
bird's_foot.n.01	bird's foot
bird's_foot_trefoil.n.02	bird's foot trefoil
bird's_nest.n.01	bird's nest
bird.n.01	bird
bird.n.02	bird
bird.v.01	bird
bird_cherry.n.01	bird cherry
bird_family.n.01	bird family
bird_genus.n.01	bird genus
bird_louse.n.01	bird louse
bird_of_paradise.n.01	bird of paradise
bird_of_paradise.n.03	bird of paradise
bird_of_prey.n.01	bird of prey
bird_pepper.n.01	bird pepper
birdcall.n.01	birdcall
birdlime.n.01	birdlime
birdlime.v.01	birdlime
birling.n.01	birling
birmingham.n.01	birmingham
birth-control_campaigner.n.01	birth-control campaigner
birth.n.01	birth
birth.n.02	birth
birth.n.05	birth
birth_control.n.01	birth control
birth_defect.n.01	birth defect
birthmark.n.01	birthmark
birthplace.n.02	birthplace
birthwort.n.01	birthwort
biscayne_bay.n.01	biscayne bay
biscuit.n.01	biscuit
biscutella.n.01	biscutella
bisexual.n.01	bisexual
bishkek.n.01	bishkek
bishop.n.01	bishop
bishopry.n.01	bishopry
bismarck.n.01	bismarck
bismarck_archipelago.n.01	bismarck archipelago
bismarck_sea.n.02	bismarck sea
bismarckian.a.01	bismarckian
bison.n.01	bison
bissau.n.01	bissau
bit.n.02	bit
bit.n.05	bit
bit.n.06	bit
bit.n.11	bit
bit_part.n.01	bit part
bitch.n.01	bitch
bite.n.01	bite
bite.n.04	bite
bite.n.08	bite
bite.n.09	bite
bite.v.01	bite
bite.v.02	bite
biter.n.01	biter
bithynia.n.01	bithynia
bitis.n.01	bitis
bitter.n.01	bitter
bitter.n.02	bitter
bitter_cassava.n.01	bitter cassava
bitter_dock.n.01	bitter dock
bitter_end.n.02	bitter end
bitter_orange.n.02	bitter orange
bittercress.n.01	bittercress
bittern.n.01	bittern
bitterness.n.02	bitterness
bitterness.n.04	bitterness
bitternut.n.01	bitternut
bitters.n.01	bitters
bittersweet.n.01	bittersweet
bittersweet.n.02	bittersweet
bitterwood_tree.n.01	bitterwood tree
bitumen.n.01	bitumen
biu-mandara.n.01	biu-mandara
bivalve.a.01	bivalve
bivalve.n.01	bivalve
bivalvia.n.01	bivalvia
black-backed_gull.n.01	black-backed gull
black-eyed_pea.n.03	black-eyed pea
black-footed_albatross.n.01	black-footed albatross
black-footed_ferret.n.01	black-footed ferret
black-necked_stilt.n.01	black-necked stilt
black-tailed_deer.n.01	black-tailed deer
black-winged_stilt.n.01	black-winged stilt
black.n.01	black
black.n.05	black
black.n.06	black
black.n.07	black
black_and_white.n.02	black and white
black_ash.n.01	black ash
black_bass.n.02	black bass
black_bile.n.01	black bile
black_birch.n.02	black birch
black_catechu.n.01	black catechu
black_currant.n.01	black currant
black_forest.n.01	black forest
black_grouse.n.01	black grouse
black_hand.n.01	black hand
black_hills.n.01	black hills
black_hills.n.02	black hills
black_horehound.n.01	black horehound
black_locust.n.02	black locust
black_man.n.01	black man
black_marketeer.v.01	black marketeer
black_medick.n.01	black medick
black_morel.n.01	black morel
black_music.n.01	black music
black_nightshade.n.01	black nightshade
black_oak.n.01	black oak
black_out.v.02	black out
black_race.n.01	black race
black_raspberry.n.01	black raspberry
black_rat_snake.n.01	black rat snake
black_rock_desert.n.01	black rock desert
black_sage.n.01	black sage
black_salsify.n.01	black salsify
black_september_movement.n.01	black september movement
black_tea.n.01	black tea
black_vulture.n.01	black vulture
black_walnut.n.01	black walnut
black_woman.n.01	black woman
blackberry.n.01	blackberry
blackberry.n.02	blackberry
blackbird.n.02	blackbird
blackburn.n.01	blackburn
blacken.v.01	blacken
blackhead.n.01	blackhead
blackmail.v.01	blackmail
blackmail.v.02	blackmail
blackmailer.n.01	blackmailer
blackout.n.01	blackout
blackout.n.02	blackout
blackpoll.n.01	blackpoll
blackthorn.n.01	blackthorn
blackthorn.n.02	blackthorn
blackwash.n.02	blackwash
blackwash.v.01	blackwash
blackwash.v.02	blackwash
blackwood.n.02	blackwood
bladder.n.01	bladder
bladder_fern.n.01	bladder fern
bladderwrack.n.02	bladderwrack
blade.n.06	blade
blade.n.08	blade
blade.n.09	blade
blame.v.01	blame
blame.v.02	blame
blame.v.03	blame
blamelessness.n.01	blamelessness
blandfordia.n.01	blandfordia
blandishment.n.01	blandishment
blandishment.n.02	blandishment
blank_check.n.02	blank check
blanket.n.01	blanket
blanket.n.02	blanket
blanquillo.n.01	blanquillo
blantyre.n.01	blantyre
blare.n.01	blare
blarina.n.01	blarina
blarney.n.01	blarney
blaspheme.v.02	blaspheme
blast.n.01	blast
blast.n.04	blast
blast.v.01	blast
blast.v.03	blast
blast.v.07	blast
blaster.n.01	blaster
blasting_cap.n.01	blasting cap
blastocladiales.n.01	blastocladiales
blastocoel.n.01	blastocoel
blastoderm.n.01	blastoderm
blastodiaceae.n.01	blastodiaceae
blastopore.n.01	blastopore
blastula.n.01	blastula
blatancy.n.01	blatancy
blather.n.01	blather
blatta.n.01	blatta
blattella.n.01	blattella
blattidae.n.01	blattidae
blattodea.n.01	blattodea
blaze.v.01	blaze
blaze.v.03	blaze
blaze.v.04	blaze
blazing_star.n.02	blazing star
bleach.n.01	bleach
bleach.v.01	bleach
bleach.v.02	bleach
bleacher.n.01	bleacher
bleaching_agent.n.01	bleaching agent
bleaching_powder.n.01	bleaching powder
bleakness.n.01	bleakness
bleat.v.01	bleat
bleat.v.02	bleat
blechnaceae.n.01	blechnaceae
bleed.v.02	bleed
bleeding.n.01	bleeding
bleeding_heart.n.01	bleeding heart
blemish.n.01	blemish
blemish.v.02	blemish
blend.n.01	blend
blend.n.02	blend
blend.n.03	blend
blend.v.01	blend
blend.v.02	blend
blend.v.03	blend
blend_in.v.02	blend in
blender.n.01	blender
blenheim.n.01	blenheim
blenniidae.n.01	blenniidae
blennioid_fish.n.01	blennioid fish
blennioidea.n.01	blennioidea
blennius.n.01	blennius
blenny.n.01	blenny
blephilia.n.01	blephilia
bleriot.n.01	bleriot
bless.v.01	bless
bless.v.03	bless
blessedness.n.01	blessedness
blessing.n.01	blessing
bletilla.n.01	bletilla
bleu.n.01	bleu
blida.n.01	blida
blighia.n.01	blighia
blight.n.02	blight
blight.v.01	blight
blighty.n.01	blighty
blind.n.03	blind
blind.v.01	blind
blind_alley.n.02	blind alley
blind_snake.n.01	blind snake
blindness.n.01	blindness
blini.n.01	blini
blink.n.01	blink
blink.v.01	blink
blink_of_an_eye.n.01	blink of an eye
blinker.n.01	blinker
blinker.n.02	blinker
blintz.n.01	blintz
bliss.n.01	bliss
blissus.n.01	blissus
blister.n.03	blister
blister.v.01	blister
blister.v.02	blister
blister_beetle.n.01	blister beetle
blitz.n.02	blitz
bloat.v.01	bloat
bloc.n.01	bloc
block.n.01	block
block.n.03	block
block.n.05	block
block.n.07	block
block.v.06	block
blockade.n.01	blockade
blockade.n.02	blockade
blockade.v.03	blockade
blockade.v.04	blockade
blockage.n.02	blockage
blockage.n.03	blockage
blockbuster.n.02	blockbuster
blocker.n.02	blocker
blocking.n.01	blocking
blogger.n.01	blogger
blolly.n.01	blolly
blond.a.01	blond
blond.n.01	blond
blood.n.01	blood
blood_cell.n.01	blood cell
blood_count.n.02	blood count
blood_cup.n.01	blood cup
blood_disease.n.01	blood disease
blood_group.n.01	blood group
blood_poisoning.n.01	blood poisoning
blood_pressure.n.01	blood pressure
blood_sport.n.01	blood sport
blood_vessel.n.01	blood vessel
bloodbath.n.01	bloodbath
bloodberry.n.01	bloodberry
bloodleaf.n.01	bloodleaf
bloodletting.n.01	bloodletting
bloodroot.n.01	bloodroot
bloodworm.n.01	bloodworm
bloody.a.01	bloody
bloom.n.04	bloom
bloom.v.01	bloom
bloomeria.n.01	bloomeria
bloomers.n.01	bloomers
blooming.n.01	blooming
bloomsbury_group.n.01	bloomsbury group
blossom.v.02	blossom
blossoming.n.01	blossoming
blot.n.02	blot
blot.v.01	blot
blotch.n.01	blotch
blotter.n.02	blotter
blouse.n.01	blouse
blow.n.01	blow
blow.n.02	blow
blow.n.07	blow
blow.v.01	blow
blow.v.02	blow
blow.v.03	blow
blow.v.09	blow
blow.v.13	blow
blow.v.14	blow
blow.v.15	blow
blow.v.18	blow
blow_out.v.01	blow out
blow_out.v.03	blow out
blow_up.v.02	blow up
blowback.n.01	blowback
blower.n.01	blower
blowfish.n.01	blowfish
blowfly.n.01	blowfly
blubber.v.02	blubber
blubberer.n.01	blubberer
bludgeon.n.01	bludgeon
bludgeon.v.01	bludgeon
bludgeoner.n.01	bludgeoner
blue.n.01	blue
blue.n.02	blue
blue.v.01	blue
blue_catfish.n.01	blue catfish
blue_cohosh.n.01	blue cohosh
blue_columbine.n.01	blue columbine
blue_curls.n.01	blue curls
blue_elder.n.01	blue elder
blue_murder.n.01	blue murder
blue_pike.n.01	blue pike
blue_pimpernel.n.01	blue pimpernel
blue_ridge_mountains.n.01	blue ridge mountains
blue_tit.n.01	blue tit
blue_toadflax.n.01	blue toadflax
blue_vitriol.n.01	blue vitriol
blue_whale.n.01	blue whale
bluebeard.n.01	bluebeard
blueberry.n.01	blueberry
blueberry.n.02	blueberry
bluecoat.n.01	bluecoat
bluefin.n.01	bluefin
bluefin.n.02	bluefin
bluefish.n.01	bluefish
bluegrass.n.01	bluegrass
bluegrass.n.02	bluegrass
bluejacket.n.01	bluejacket
bluepoint.n.02	bluepoint
blueprint.n.01	blueprint
blueprint.n.02	blueprint
blueprint.v.01	blueprint
blues.n.01	blues
blueweed.n.01	blueweed
bluff.n.03	bluff
bluff.v.01	bluff
bluff.v.02	bluff
bluffer.n.01	bluffer
bluish_green.n.01	bluish green
blunder.n.01	blunder
blur.n.01	blur
blur.v.05	blur
blur.v.06	blur
blurt_out.v.01	blurt out
blush.n.02	blush
blush.v.01	blush
blushing_mushroom.n.01	blushing mushroom
bo_hai.n.01	bo hai
boa.n.02	boa
board.n.01	board
board.n.02	board
board.n.03	board
board.n.04	board
board.n.09	board
board.v.01	board
board.v.02	board
board.v.03	board
board.v.04	board
board_foot.n.01	board foot
board_game.n.01	board game
boarder.n.03	boarder
boarding.n.01	boarding
boast.n.01	boast
boast.v.01	boast
boat.n.01	boat
boat.v.01	boat
boatbill.n.01	boatbill
boater.n.01	boater
boating.n.01	boating
boatman.n.01	boatman
boatswain.n.01	boatswain
bob.n.02	bob
bob.n.04	bob
bob.n.05	bob
bob.v.01	bob
bob.v.05	bob
bobbin.n.01	bobbin
bobble.n.01	bobble
bobolink.n.01	bobolink
bobsled.n.01	bobsled
bobsled.n.02	bobsled
bobsled.v.01	bobsled
bobtail.n.01	bobtail
bobwhite.n.01	bobwhite
bode.v.01	bode
bodhisattva.n.01	bodhisattva
bodied.a.01	bodied
bodily_process.n.01	bodily process
bodily_property.n.01	bodily property
bodkin.n.04	bodkin
body.n.01	body
body.n.02	body
body.n.03	body
body.n.04	body
body.n.08	body
body.v.01	body
body_armor.n.01	body armor
body_covering.n.01	body covering
body_louse.n.01	body louse
body_odor.n.01	body odor
body_of_water.n.01	body of water
body_part.n.01	body part
