'hood.n.01	(slang) a neighborhood
compound.v.05	combine so as to form a whole; mix
compound_leaf.n.01	a leaf composed of a number of leaflets on a common stalk
compound_lever.n.01	a pair of levers hinged at the fulcrum
comprehensibility.n.01	the quality of comprehensible language or thought
comprehensible.a.01	capable of being comprehended or understood
comprehension.n.01	an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
comprehensive.a.01	including all or everything
comprehensive_school.n.01	a large British or Canadian secondary school for children of all abilities
compress.v.01	make more compact by or as if by pressing
compress.v.02	squeeze or press together
compressible.a.01	capable of being compressed or made more compact
compression.n.02	the process or result of becoming smaller or pressed together
compression.n.03	encoding information while reducing the bandwidth or bits required
compression.n.04	applying pressure
compressor.n.01	a mechanical device that compresses gasses
compromise.v.01	make a compromise; arrive at a compromise; we all must compromise"
compromise.v.02	settle by concession
compromising.a.01	making or willing to make concessions
comptonia.n.01	one species: sweet fern
comptroller_of_the_currency.n.02	the agency of the Treasury Department responsible for controlling the currency
comptrollership.n.01	the position of comptroller
compulsion.n.03	using force to cause something to occur
compulsive.n.01	a person with a compulsive disposition; someone who feels compelled to do certain things
compulsory.s.01	required by rule
compunction.n.01	a feeling of deep regret (usually for some misdeed)
computational.a.01	of or involving computation or computers
computer-aided_design.n.01	software used in art and architecture and engineering and manufacturing to assist in precision drawing
computer.n.01	a machine for performing calculations automatically
computer_accessory.n.01	an accessory for a computer
computer_architecture.n.02	(computer science) the structure and organization of a computer's hardware or system software
computer_circuit.n.01	a circuit that is part of a computer
computer_file.n.01	(computer science) a file maintained in computer-readable form
computer_memory_unit.n.01	a unit for measuring computer memory
computer_network.n.01	(computer science) a network of computers
computer_operation.n.01	an elementary operation that a computer is designed and built to perform
computer_science.n.01	the branch of engineering science that studies (with the aid of computers) computable processes and structures
computer_scientist.n.01	a scientist who specializes in the theory of computation and the design of computers
computer_screen.n.01	a screen used to display the output of a computer to the user
computer_system.n.01	a system of one or more computers and associated software with common storage
computer_user.n.01	a person who uses computers for work or entertainment or communication or business
computerization.n.01	the control of processes by computer
computerize.v.01	provide with computers
computerize.v.02	store in a computer
computerized_tomography.n.01	a method of examining body organs by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis
comstock.n.01	United States reformer who led moral crusades against art and literature that he considered obscene (1844-1915)
comstock_mealybug.n.01	Asiatic insect introduced accidentally into United States; pest on citrus and apple trees
conakry.n.01	a port and the capital of Guinea
concatenate.v.01	combine two strings to form a single one
concatenate.v.02	add by linking or joining so as to form a chain or series
concatenation.n.04	the act of linking together as in a series or chain
concave.a.01	curving inward
concave_shape.n.01	a shape that curves or bends inward
concavity.n.02	the property possessed by a concave shape
conceal.v.02	hold back; keep from being perceived by others
concealment.n.03	the activity of keeping something secret
concede.v.01	admit (to a wrongdoing)
concede.v.02	be willing to concede
concede.v.03	give over; surrender or relinquish to the physical control of another
conceit.n.05	the trait of being unduly vain and conceited; false pride
conceive.v.03	become pregnant; undergo conception
concenter.v.01	bring into focus or alignment; to converge or cause to converge; of ideas or emotions
concentrate.n.02	a concentrated form of a foodstuff; the bulk is reduced by removing water
concentrate.v.01	make denser, stronger, or purer
concentrate.v.02	direct one's attention on something
concentrate.v.05	draw together or meet in one common center
concentration.n.01	the strength of a solution; number of molecules of a substance in a given volume
concentration.n.02	the spatial property of being crowded together
concentration.n.03	strengthening the concentration (as of a solute in a mixture) by removing diluting material
concentration.n.04	increase in density
concentration.n.05	complete attention; intense mental effort
concentration.n.06	bringing together military forces
concentration_camp.n.01	a penal camp where political prisoners or prisoners of war are confined (usually under harsh conditions)
concept.n.01	an abstract or general idea inferred or derived from specific instances
conceptualization.n.01	inventing or contriving an idea or explanation and formulating it mentally
conceptualization.n.02	an elaborated concept
concern.n.01	something that interests you because it is important or affects you
concern.n.02	an anxious feeling
concern.n.03	a feeling of sympathy for someone or something
concern.n.04	something or someone that causes anxiety; a source of unhappiness
concern.v.02	be on the mind of
concert.n.01	a performance of music by players or singers not involving theatrical staging
concession.n.02	the act of conceding or yielding
concession.n.03	a point conceded or yielded
concessive.a.01	of or pertaining to concession
conch.n.01	any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer lip
concha.n.01	(anatomy) a structure that resembles a shell in shape
conchology.n.01	the collection and study of mollusc shells
conciliation.n.01	the state of manifesting goodwill and cooperation after being reconciled
conciliation.n.02	any of various forms of mediation whereby disputes may be settled short of arbitration
conciliator.n.01	someone who tries to bring peace
conciliatory.a.02	intended to placate
concise.a.01	expressing much in few words
conclude.v.02	bring to a close
conclude.v.03	reach a conclusion after a discussion or deliberation
conclude.v.04	come to a close
conclusion.n.08	the last section of a communication
conclusive.a.01	forming an end or termination; especially putting an end to doubt or question
concoct.v.01	make a concoction (of) by mixing
concoct.v.02	prepare or cook by mixing ingredients
concoction.n.01	any foodstuff made by combining different ingredients
concoction.n.03	the invention of a scheme or story to suit some purpose
concrete.a.01	capable of being perceived by the senses; not abstract or imaginary
concrete.n.01	a strong hard building material composed of sand and gravel and cement and water
concrete.v.02	form into a solid mass; coalesce
concreteness.n.01	the quality of being concrete (not abstract)
concretism.n.01	a representation of an abstract idea in concrete terms
concretize.v.01	make something concrete
concubine.n.01	a woman who cohabits with an important man
concur.v.02	happen simultaneously
concurrence.n.01	agreement of results or opinions
concurrence.n.04	the temporal property of two things happening at the same time
concurrent_negligence.n.01	(law) negligence of two of more persons acting independently; the plaintiff may sue both together or separately
concurring_opinion.n.01	an opinion that agrees with the court's disposition of the case but is written to express a particular judge's reasoning
condemn.v.01	express strong disapproval of
condemn.v.02	declare or judge unfit for use or habitation
condemn.v.04	demonstrate the guilt of (someone)
condemnation.n.04	the condition of being strongly disapproved of
condensation.n.02	the process of changing from a gaseous to a liquid or solid state
condensation.n.03	atmospheric moisture that has condensed because of cold
condensation.n.05	a shortened version of a written work
condense.v.01	undergo condensation; change from a gaseous to a liquid state and fall in drops
condense.v.03	remove water from
condense.v.04	cause a gas or vapor to change into a liquid
condense.v.05	become more compact or concentrated
condense.v.06	develop due to condensation
condense.v.07	compress or concentrate
condenser.n.02	an apparatus that converts vapor into liquid
condenser.n.04	lens used to concentrate light on an object
condensing.n.01	the act of increasing the density of something
condescension.n.01	the trait of displaying arrogance by patronizing those considered inferior
condescension.n.02	a communication that indicates lack of respect by patronizing the recipient
condescension.n.03	affability to your inferiors and temporary disregard for differences of position or rank
condiment.n.01	a preparation (a sauce or relish or spice) to enhance flavor or enjoyment
condition.n.01	a state at a particular time
condition.n.02	an assumption on which rests the validity or effect of something else
condition.n.03	a mode of being or form of existence of a person or thing
condition.n.07	(usually plural) a statement of what is required as part of an agreement
condition.v.04	put into a better state
conditional_reflex.n.01	an acquired response that is under the control of (conditional on the occurrence of) a stimulus
conditioned_avoidance.n.01	a conditioned response that anticipates the occurrence of an aversive stimulus
conditioner.n.02	a trainer of athletes
conditioning.n.01	a learning process in which an organism's behavior becomes dependent on the occurrence of a stimulus in its environment
condolence.n.01	an expression of sympathy with another's grief
condom.n.01	contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse
condominium.n.01	one of the dwelling units in a condominium
condor.n.01	the largest flying birds in the western hemisphere
conduct.v.01	direct the course of; manage or control
conduct.v.02	lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years"
conduct.v.06	lead musicians in the performance of
conductance_unit.n.01	a measure of a material's ability to conduct an electrical charge
conducting.n.02	the direction of an orchestra or choir
conduction.n.01	the transmission of heat or electricity or sound
conduction_anesthesia.n.01	anesthesia of an area supplied by a nerve; produced by an anesthetic agent applied to the nerve
conductive.a.01	having the quality or power of conducting heat or electricity or sound; exhibiting conductivity
conductor.n.01	the person who leads a musical group
conductor.n.02	a substance that readily conducts e.g. electricity and heat
conductor.n.04	a device designed to transmit electricity, heat, etc.
conduit.n.01	a passage (a pipe or tunnel) through which water or electric wires can pass
condylar_process.n.01	the condyle of the ramus of the mandible that articulates with the skull
condyle.n.01	a round bump on a bone where it forms a joint with another bone
cone.n.01	any cone-shaped artifact
cone.n.02	a shape whose base is a circle and whose sides taper up to a point
cone.n.03	cone-shaped mass of ovule- or spore-bearing scales or bracts
cone.v.01	make cone-shaped
cone_pepper.n.01	plant bearing erect pungent conical red or yellow or purple fruits; sometimes grown as an ornamental
coneflower.n.01	any of various plants of the genus Rudbeckia cultivated for their large usually yellow daisies with prominent central cones
coneflower.n.02	a wildflower of the genus Ratibida
conenose.n.01	large bloodsucking bug
conepatus.n.01	a genus of Mustelidae
confabulate.v.01	unconsciously replace fact with fantasy in one's memory
confect.v.02	make into a confection
confection.n.02	the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
confederacy.n.01	the southern states that seceded from the United States in 1861
confederate.n.01	a supporter of the Confederate States of America
confederate.v.02	form a confederation with; of nations
confederate_army.n.01	the southern army during the American Civil War
confederate_soldier.n.01	a soldier in the Army of the Confederacy during the American Civil War
confederation.n.02	a union of political organizations
confederation.n.03	the act of forming an alliance or confederation
confer.v.01	have a conference in order to talk something over
confer.v.02	present
conferee.n.02	a member of a conference
conference.n.01	a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
conference.n.03	a discussion among participants who have an agreed (serious) topic
confess.v.01	confess to a punishable or reprehensible deed, usually under pressure
confession.n.01	an admission of misdeeds or faults
confession.n.02	a written document acknowledging an offense and signed by the guilty party
confession.n.03	(Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution
confession_of_judgment.n.01	a judgment entered after a written confession by the debtor without the expense of ordinary legal proceedings
confessor.n.02	someone who confesses (discloses information damaging to themselves)
confidant.n.01	someone to whom private matters are confided
confide.v.01	reveal in private; tell confidentially
confidence.n.02	a feeling of trust (in someone or something)
confidence.n.04	a trustful relationship
confidence_man.n.01	a swindler who exploits the confidence of his victim
confident.a.01	having or marked by confidence or assurance
configuration.n.01	an arrangement of parts or elements
configure.v.01	set up for a particular purpose
confine.v.03	prevent from leaving or from being removed
confine.v.05	deprive of freedom; take into confinement
confinement.n.02	the act of restraining of a person's liberty by confining them
confinement.n.03	the state of being confined
confines.n.01	a bounded scope
confirm.v.01	establish or strengthen as with new evidence or facts
confirm.v.02	strengthen or make more firm
confirm.v.04	support a person for a position
confirmation.n.01	additional proof that something that was believed (some fact or hypothesis or theory) is correct
confirmation.n.02	information that confirms or verifies
confiscation.n.01	seizure by the government
confiture.n.01	preserved or candied fruit
conflict.n.01	an open clash between two opposing groups (or individuals)
conflict.n.04	a state of opposition between persons or ideas or interests
conflict.v.01	be in conflict
conflict.v.02	go against, as of rules and laws
conform.v.01	be similar, be in line with
conformist.n.01	someone who conforms to established standards of conduct (especially in religious matters)
conformity.n.01	correspondence in form or appearance
conformity.n.02	acting according to certain accepted standards
confront.v.01	oppose, as in hostility or a competition
confront.v.02	deal with (something unpleasant) head on
confront.v.03	present somebody with something, usually to accuse or criticize
confront.v.04	be face to face with
confrontation.n.03	a hostile disagreement face-to-face
confrontation.n.04	the act of hostile groups opposing each other
confrontational.a.01	of or relating to confrontation
confuse.v.01	mistake one thing for another
confuse.v.02	be confusing or perplexing to; cause to be unable to think clearly
confuse.v.03	cause to feel embarrassment
confuse.v.05	make unclear, indistinct, or blurred
confused.a.05	mentally confused; unable to think with clarity or act intelligently
confused.s.03	having lost your bearings; confused as to time or place or personal identity
confusion.n.01	disorder resulting from a failure to behave predictably
confusion.n.02	a mental state characterized by a lack of clear and orderly thought and behavior
confusion.n.03	a feeling of embarrassment that leaves you confused
confusion.n.04	an act causing a disorderly combination of elements with identities lost and distinctions blended
confusion.n.05	a mistake that results from taking one thing to be another
conge.n.03	an abrupt and unceremonious dismissal
congealment.n.01	the process of congealing; solidification by (or as if by) freezing
congenital_afibrinogenemia.n.01	a rare congenital disorder of blood coagulation in which no fibrinogen is found in the blood plasma
congenital_heart_defect.n.01	a birth defect involving the heart
congestion.n.01	excessive accumulation of blood or other fluid in a body part
congestion.n.02	excessive crowding
congestive.a.01	relating to or affected by an abnormal collection of blood or other fluid
conglobate.v.01	assume a globular shape
conglomeration.n.03	an occurrence combining miscellaneous things into a (more or less) rounded mass
conglutinate.v.02	stick together
congo.n.01	a republic in central Africa; achieved independence from Belgium in 1960
congo.n.02	a major African river (one of the world's longest); flows through Congo into the South Atlantic
congo.n.03	a republic in west-central Africa; achieved independence from France in 1960
congolese.n.01	a native or inhabitant of the Republic of the Congo
congratulate.v.02	express congratulations
congratulation.n.01	the act of acknowledging that someone has an occasion for celebration
congratulation.n.02	(usually plural) an expression of pleasure at the success or good fortune of another
congregate.v.01	come together, usually for a purpose
congregation.n.01	a group of people who adhere to a common faith and habitually attend a given church
congress.n.01	the legislature of the United States government
congridae.n.01	marine eels
congruity.n.01	the quality of agreeing; being suitable and appropriate
conic.a.01	relating to or resembling a cone
conic_section.n.01	(geometry) a curve generated by the intersection of a plane and a circular cone
conifer.n.01	any gymnospermous tree or shrub bearing cones
coniferales.n.01	profusely branching and chiefly evergreen trees and some shrubs having narrow or needlelike leaves
coniferopsida.n.01	cone-bearing gymnosperms dating from the Carboniferous period; most are substantial trees; includes the classes Pinopsida (subdivision Pinophytina) and Ginkgopsida (subdivision Ginkgophytina) and Taxopsida (subdivision Taxophytina) which in turn include the surviving orders Coniferales and Taxales (yews) and sometimes Ginkgoales as well as extinct orders such as Cordaitales (of the Carboniferous and Permian)
coniogramme.n.01	terrestrial ferns of Pacific islands and Asia
conium.n.01	small genus of highly toxic biennials: hemlock
conjecture.n.03	reasoning that involves the formation of conclusions from incomplete evidence
conjugate.v.01	unite chemically so that the product is easily broken down into the original compounds
conjugate.v.03	undergo conjugation
conjugated_protein.n.01	a protein complex combining amino acids with other substances
conjunction.n.03	an uninflected function word that serves to conjoin words or phrases or clauses or sentences
conjunction.n.04	the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
conjunction.n.05	(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac
conjunctiva.n.01	a transparent lubricating mucous membrane that covers the eyeball and the under surface of the eyelid
conjunctivitis.n.01	inflammation of the conjunctiva of the eye
conjuring.n.01	calling up a spirit or devil
conk.n.01	informal term for the nose
conn.v.01	conduct or direct the steering of a ship or plane
connect.v.01	connect, fasten, or put together two or more pieces
connect.v.03	be or become joined or united or linked
connect.v.04	join by means of communication equipment
connect.v.06	join for the purpose of communication
connect.v.08	establish a rapport or relationship
connected.a.02	joined or linked together
connected.s.03	wired together to an alarm system
connecticut.n.01	a New England state; one of the original 13 colonies
connecticut.n.02	a river in the northeastern United States; flows south from northern New Hampshire along the border between New Hampshire and Vermont and through Massachusetts and Connecticut where it empties into Long Island Sound
connection.n.01	a relation between things or events (as in the case of one causing the other or sharing features with it)
connection.n.02	the state of being connected
connection.n.03	an instrumentality that connects
connection.n.06	a connecting shape
connection.n.08	shifting from one form of transportation to another
connective_tissue.n.01	tissue of mesodermal origin consisting of e.g. collagen fibroblasts and fatty cells; supports organs and fills spaces between them and forms tendons and ligaments
conning_tower.n.02	a raised bridge on a submarine; often used for entering and exiting
connivance.n.01	agreement on a secret plot
connivance.n.02	(law) tacit approval of someone's wrongdoing
connive.v.01	encourage or assent to illegally or criminally
connive_at.v.01	give one's silent approval to
connochaetes.n.01	African antelopes: gnus
connoisseur.n.01	an expert able to appreciate a field; especially in the fine arts
connote.v.02	involve as a necessary condition of consequence; as in logic
conocarpus.n.01	monotypic genus of tropical American trees: button tree
conoclinium.n.01	mistflower
conodont.n.02	small (2 inches long) extinct eellike fish with a finned tail and a notochord and having cone-shaped teeth containing cellular bone; late Cambrian to late Triassic; possible predecessor of the cyclostomes
conodonta.n.01	extinct order of primitive vertebrates; the precise taxonomy is not clear; in some classifications considered a separate phylum
conopodium.n.01	a genus of dicotyledonous plants of the family Umbelliferae
conospermum.n.01	Australian shrubs (some trees) with flowers in dense spikes: smoke bush
conquer.v.03	overcome by conquest
conqueror.n.01	someone who is victorious by force of arms
conquest.n.01	the act of conquering
conquistador.n.01	an adventurer (especially one who led the Spanish conquest of Mexico and Peru in the 16th century)
conradina.n.01	small genus of low aromatic shrubs of southeastern United States
consanguinity.n.01	(anthropology) related by blood
conscience.n.01	motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
conscientious_objector.n.01	one who refuses to serve in the armed forces on grounds of conscience
conscientiousness.n.02	the trait of being painstaking and careful
conscious.a.02	knowing and perceiving; having awareness of surroundings and sensations and thoughts
consciousness.n.01	an alert cognitive state in which you are aware of yourself and your situation
conscript.v.01	enroll into service compulsorily
conscription.n.01	compulsory military service
consecrate.v.04	render holy by means of religious rites
consecration.n.01	a solemn commitment of your life or your time to some cherished purpose (to a service or a goal)
consecration.n.02	(religion) sanctification of something by setting it apart (usually with religious rites) as dedicated to God
consent_decree.n.01	an agreement between two parties that is sanctioned by the court; for example, a company might agree to stop certain questionable practices without admitting guilt
consequence.n.01	a phenomenon that follows and is caused by some previous phenomenon
consequence.n.02	the outcome of an event especially as relative to an individual
conservancy.n.01	a commission with jurisdiction over fisheries and navigation in a port or river
conservation.n.01	an occurrence of improvement by virtue of preventing loss or injury or other change
conservation.n.02	the preservation and careful management of the environment and of natural resources
conservation.n.03	(physics) the maintenance of a certain quantities unchanged during chemical reactions or physical transformations
conservatism.n.01	a political or theological orientation advocating the preservation of the best in society and opposing radical changes
conservative.n.01	a person who is reluctant to accept changes and new ideas
conservative_judaism.n.01	Jews who keep some of the requirements of the Mosaic law but allow for adaptation of other requirements (as some of the dietary laws) to fit modern circumstances
conserve.n.01	fruit preserved by cooking with sugar
conserve.v.02	keep in safety and protect from harm, decay, loss, or destruction
conserve.v.03	use cautiously and frugally
conserve.v.04	preserve with sugar
consider.v.03	take into consideration for exemplifying purposes
consider.v.04	show consideration for; take into account
consider.v.05	think about carefully; weigh
consider.v.09	regard or treat with consideration, respect, and esteem
considerate.a.01	showing concern for the rights and feelings of others
consideration.n.01	the process of giving careful thought to something
consideration.n.03	a discussion of a topic (as in a meeting)
consideration.n.04	kind and considerate regard for others
consign.v.01	commit forever; commit irrevocably
consign.v.02	give over to another for care or safekeeping
consist.v.03	be consistent in form, tenor, or character; be congruous
consistency.n.01	the property of holding together and retaining its shape
consistency.n.02	a harmonious uniformity or agreement among things or parts
consociate.v.01	bring or come into association or action
consolation.n.01	the comfort you feel when consoled in times of disappointment
consolation.n.02	the act of consoling; giving relief in affliction
console.n.02	a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
consolida.n.01	plants having flowers resembling the larkspur's but differing from larkspur's in the arrangement of petals; sometimes included in genus Delphinium
consolidation.n.02	the act of combining into an integral whole
consonant.n.01	a speech sound that is not a vowel
consonate.v.01	sound in sympathy
consort.n.01	the husband or wife of a reigning monarch
consort.v.01	keep company with; hang out with
consortium.n.01	an association of companies for some definite purpose
conspicuousness.n.02	high visibility
conspiracy.n.01	a secret agreement between two or more people to perform an unlawful act
conspiracy.n.02	a plot to carry out some harmful or illegal act (especially a political plot)
conspiracy.n.03	a group of conspirators banded together to achieve some harmful or illegal purpose
conspirator.n.01	a member of a conspiracy
conspiratorial.a.01	relating to or characteristic of conspiracy or conspirators
conspire.v.01	engage in plotting or enter into a conspiracy, swear together
conspire.v.02	act in unison or agreement and in secret towards a deceitful or illegal purpose
constable.n.03	a police officer of the lowest rank
constance.n.01	a lake in southeastern Germany on the northern side of the Swiss Alps; forms part of the Rhine River
constancy.n.01	the quality of being enduring and free from change or variation
constancy.n.02	(psychology) the tendency for perceived objects to give rise to very similar perceptual experiences in spite of wide variations in the conditions of observation
constant.a.02	steadfast in purpose or devotion or affection
constant.n.02	a number representing a quantity assumed to have a fixed value in a specified mathematical context
constantina.n.01	a Romanian resort city on the Black Sea
constantine.n.02	a walled city in northeastern Algeria to the east of Algiers; was destroyed in warfare in the 4th century and rebuilt by Constantine I
constellation.n.02	a configuration of stars as seen from the earth
constipation.n.01	irregular and infrequent or difficult evacuation of the bowels; can be a symptom of intestinal obstruction or diverticulitis
constituent.n.04	(grammar) a word or phrase or clause forming part of a larger grammatical construction
constitute.v.01	form or compose
constitution.n.02	the act of forming or establishing something
constitution.n.04	the way in which someone or something is composed
constitutionalist.n.01	an advocate of constitutional government
constitutionalize.v.01	provide with a constitution, as of a country
constraint.n.01	the state of being physically constrained
constrict.v.02	become tight or as if tight
constriction.n.01	a narrowing that reduces the flow through a channel
constriction.n.02	tight or narrow compression
constriction.n.04	the action or process of compressing
constrictor.n.01	any of various large nonvenomous snakes that kill their prey by crushing it in its coils
construct.v.01	make by combining materials and parts
construct.v.03	draw with suitable instruments and under specified conditions
construction.n.01	the act of constructing something
construction.n.02	a group of words that form a constituent of a sentence and are considered as a single unit
construction.n.03	the creation of a construct; the process of combining ideas into a congruous object of thought
construction.n.06	an interpretation of a text or action
construction.n.07	the commercial activity involved in repairing old structures or constructing new ones
consulship.n.01	the post of consul
consult.v.01	get or ask advice from
consult.v.02	seek information from
consult.v.04	advise professionally
consultation.n.01	a conference (usually with someone important)
consultation.n.02	a conference between two or more people to consider a particular question
consume.v.02	serve oneself to, or consume regularly
consume.v.03	spend extravagantly
consume.v.05	use up (resources or materials)
consumer.n.01	a person who uses goods or services
consumer_credit.n.01	a line of credit extended for personal or household use
consumer_goods.n.01	goods (as food or clothing) intended for direct use or consumption
consumerism.n.02	a movement advocating greater protection of the interests of consumers
consummate.v.01	fulfill sexually
consummate.v.02	make perfect; bring to perfection
consummation.n.01	the completion of marriage by sexual intercourse
consummation.n.02	the act of bringing to completion or fruition
consumption.n.01	the process of taking food into the body through the mouth (as by eating)
consumption.n.03	(economics) the utilization of economic goods to satisfy needs or in manufacturing
consumption.n.04	the act of consuming something
consumptive.a.01	tending to consume or use often wastefully
contact.n.01	close interaction
contact.n.02	the act of touching physically
contact.n.03	the state or condition of touching or of being in immediate proximity
contact.n.04	the physical coming together of two or more things
contact.n.07	(electronics) a junction where things (as two electrical conductors) touch or are in physical contact
contact_sport.n.01	a sport that necessarily involves body contact between opposing players
contagious_disease.n.01	any disease easily transmitted by contact
contain.v.05	be capable of holding or containing
container.n.01	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
containerful.n.01	the quantity that a container will hold
containment.n.01	a policy of creating strategic alliances in order to check the expansion of a hostile power or ideology or to force it to negotiate peacefully
containment.n.03	the act of containing; keeping something from spreading
contaminant.n.01	a substance that contaminates
contaminate.v.02	make radioactive by adding radioactive material
contamination.n.01	the state of being contaminated
contamination.n.03	the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors
contemn.v.01	look down on with disdain
contemplate.v.01	look at thoughtfully; observe deep in thought
contemplate.v.02	consider as a possibility
contemplation.n.02	a calm, lengthy, intent consideration
contemplative.n.01	a person devoted to the contemplative life
contempt.n.01	lack of respect accompanied by a feeling of intense dislike
contempt.n.02	a manner that is generally disrespectful and contemptuous
contempt.n.03	open disrespect for a person or thing
contempt.n.04	a willful disobedience to or disrespect for the authority of a court or legislative body
contemptible.a.01	deserving of contempt or scorn
contend.v.06	be engaged in a fight; carry on a fight
content.n.05	the sum or range of what has been perceived, discovered, or learned
content.v.01	satisfy in a limited way
content_word.n.01	a word to which an independent meaning can be assigned
contented.a.01	satisfied or showing satisfaction with things as they are
contentedness.n.01	the state of being contented with your situation in life
contention.n.01	a point asserted as part of an argument
contents.n.01	a list of divisions (chapters or articles) and the pages on which they start
contest.n.01	an occasion on which a winner is selected from among two or more contestants
contest.n.02	a struggle between rivals
contest.v.01	to make the subject of dispute, contention, or litigation
contestant.n.01	a person who participates in competitions
contestee.n.01	a winner (of a race or an election etc.) whose victory is contested
contester.n.01	someone who contests an outcome (of a race or an election etc.)
context.n.02	the set of facts or circumstances that surround a situation or event
contextual.a.01	relating to or determined by or in context
continent.n.01	one of the large landmasses of the earth
continental.a.04	being or concerning or limited to a continent especially the continents of North America or Europe
continental_shelf.n.01	the relatively shallow (up to 200 meters) seabed surrounding a continent
continental_slope.n.01	the steep descent of the seabed from the continental shelf to the abyssal zone
contingent.n.02	a temporary military unit
continuance.n.01	the act of continuing an activity without interruption
continue.v.01	continue a certain state, condition, or activity
continue.v.02	continue talking
continue.v.03	keep or maintain in unaltered condition; cause to remain or last
continue.v.06	do something repeatedly and showing no intention to stop
continue.v.07	continue after an interruption
continue.v.10	exist over a prolonged period of time
continuing_education.n.01	a program of instruction designed primarily for adult students who participate part-time
continuity.n.01	uninterrupted connection or union
continuity.n.03	the property of a continuous and connected period of time
continuity_irish_republican_army.n.01	a terrorist organization formed in Ireland in 1994 as a clandestine armed wing of Sinn Fein
continuous.a.01	continuing in time or space without interruption
continuousness.n.01	the quality of something that continues without end or interruption
contopus.n.01	pewees
contort.v.01	twist and press out of shape
contortion.n.01	the act of twisting or deforming the shape of something (e.g., yourself)
contortionist.n.01	an acrobat able to twist into unusual positions
contour.v.01	form the contours of
contraband.n.01	goods whose importation or exportation or possession is prohibited by law
contraception.n.01	birth control by the use of devices (diaphragm or intrauterine device or condom) or drugs or surgery
contraceptive.n.01	an agent or device intended to prevent conception
contract.n.01	a binding agreement between two or more persons that is enforceable by law
contract.n.02	(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
contract.v.01	enter into a contractual arrangement
contract.v.04	be stricken by an illness, fall victim to an illness
contractile_organ.n.01	a bodily organ that contracts
contraction.n.01	(physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle fiber)
contraction.n.04	the act of decreasing (something) in size or volume or quantity or scope
contractor.n.01	someone (a person or firm) who contracts to build things
contracture.n.01	an abnormal and usually permanent contraction of a muscle
contradance.v.01	perform a contradance
contradict.v.01	be in contradiction with
contradict.v.02	deny the truth of
contradiction.n.02	(logic) a statement that is necessarily false
contradictoriness.n.01	the relation that exists when opposites cannot coexist
contradistinguish.v.01	distinguish by contrasting qualities
contralto.n.01	a woman singer having a contralto voice
contrariness.n.01	deliberate and stubborn unruliness and resistance to guidance or discipline
contrast.n.01	the opposition or dissimilarity of things that are compared
contrast.n.05	the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)
contrast.v.01	put in opposition to show or emphasize differences
contrast.v.02	to show differences when compared; be different
contretemps.n.01	an awkward clash
contribute.v.02	contribute to some cause
contribute.v.03	be conducive to
contribution.n.01	the part played by a person in bringing about a result
contribution.n.02	a voluntary gift (as of money or service or ideas) made to some worthwhile cause
contribution.n.03	act of giving in common with others for a common purpose especially to a charity
contributory_negligence.n.01	(law) behavior by the plaintiff that contributes to the harm resulting from the defendant's negligence
contrivance.n.03	an elaborate or deceitful scheme contrived to deceive or evade
control.n.01	power to direct or determine
control.n.03	(physiology) regulation or maintenance of a function or action or reflex etc
control.n.05	the activity of managing or exerting control over something
control.n.09	a mechanism that controls the operation of a machine
control.n.11	the economic policy of controlling or limiting or curbing prices or wages etc.
control.v.01	exercise authoritative control or power over
control.v.02	lessen the intensity of; temper; hold in restraint; hold or keep within limits
control.v.05	check or regulate (a scientific experiment) by conducting a parallel experiment or comparing with another standard
control.v.06	verify by using a duplicate register for comparison
control_condition.n.01	a standard against which other conditions can be compared in a scientific experiment
control_panel.n.01	electrical device consisting of a flat insulated surface that contains switches and dials and meters for controlling other electrical devices
control_system.n.01	a system for controlling the operation of another system
controlled_substance.n.01	a drug or chemical substance whose possession and use are controlled by law
controllership.n.01	the position of controller
controversial.a.01	marked by or capable of arousing controversy
controversy.n.01	a contentious speech act; a dispute where there is strong disagreement
conurbation.n.01	an aggregation or continuous network of urban communities
conuropsis.n.01	a genus of Psittacidae
convalescence.n.01	gradual healing (through rest) after sickness or injury
convalescent.n.01	a person who is recovering from illness
convallaria.n.01	sometimes placed in family Convallariaceae: lily of the valley
convection.n.02	(meteorology) the vertical movement of heat or other properties by massive motion within the atmosphere
